_job_featured_image,_job_title,_job_featured,_job_filled,_job_urgent,_job_description,_job_category,_job_type,_job_tag,_job_expiry_date,_job_gender,_job_apply_type,_job_apply_url,_job_apply_email,_job_salary_type,_job_salary,_job_max_salary,_job_experience,_job_career_level,_job_qualification,_job_video_url,_job_photos,_job_application_deadline_date,_job_address,_job_location,_job_map_location
,Técnico en aire acondicionado,1,0,0,"*Técnico en aire acondicionado que cumplan con 2820 horas.
*Certificado en DIGECA para usos de refrigerante.
*Licencia B1 y saber manejar vehiculo manual.
*Mas de 3 años de experiencia.
*Tener disponibilidad de horarios entre semana, inclusive fines de semana.",Construcción,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/tecnico-en-aire-acondicionado/871436,info@elempleocr.com,,Salario confidencial,,1 año de experiencia,"Auxiliar, asistencial y otros",Técnico medio,,,2025-11-20,Tibás,Tibás,
,Jefe de producción,1,0,0,"Objetivo:
Liderar los procesos productivos garantizando eficiencia, calidad y cumplimiento de metas, impulsando la mejora continua y la optimización de recursos.
Requisitos:
Licenciatura en Ingeniería Industrial, Producción o Administración.
+3 años de experiencia en manufactura (deseable en óptica).
Manejo de indicadores, ERP y Excel avanzado.
Conocimiento en ISO 9001, 14001, 45001 y Lean Manufacturing.",Admin:servicios generales,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/jefe-de-produccion/871431,info@elempleocr.com,,Salario confidencial,,3 años de experiencia,Profesional,Bachillerato universitario,,,2025-11-20,Pavas,Pavas,
,Analista de  impuestos y presupuestos,1,0,0,"Objetivo:
Gestionar y supervisar el cumplimiento de las obligaciones tributarias de la empresa, además de participar en la elaboración de presupuestos
Funciones:
1. Coordinar y revisar la información que se entrega a la administración tributaria.
2. Identificar, evaluar y proponer mejoras a las contingencias fiscales.
3. Asegurar que la política contable de la empresa esté en línea con la normativa tributaria vigente en Costa Rica.
4. Mantenerse actualizado sobre las leyes tributarias del país.
5. Colaborar con otros departamentos para garantizar el cumplimiento fiscal y la planificación financiera.
6. Participar en la elaboración, ejecución y seguimiento de presupuestos.
7. Generar mensualmente los reportes de la ejecución presupuestaria (presupuesto vrs real) y analizarlos con las Jefaturas de cada área.
Requisitos:
Licenciatura en Contaduría Pública, Administración Financiera o carrera afín.
Mínimo 3 años en puestos relacionados con contabilidad tributaria, fiscal o presupuestos.
Conocimiento en legislación tributaria costarricense (IVA, Renta, retenciones, etc.)
Dominio de Excel avanzado.",Administrativo financiero,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/analista-de-impuestos-y-presupuestos/871419,info@elempleocr.com,Mensual,¢ 550 a 650 mil,650,3 años de experiencia,Profesional,Bachillerato universitario,,,2025-11-20,Escazú,Escazú,
,Contador parque viva,1,0,0,"GRUPO NACIÓN requiere CONTADOR PARA PARQUE VIVA
-Requisitos:
Conocimientos en contabilidad general y legislación fiscal.
Conocimiento de Normas Internacionales de Información Financiera (NIIF).
Conocimientos básicos de SAP Business One (B1).
Dominio en uso de hojas de cálculo.
Incorporado al Colegio de Contadores Privados de Costa Rica.
Residir en La Guácima de Alajuela o alrededores.
-Responsabilidades:
Realizar el proceso de contabilidad y registro de los diferentes procesos de Parque Viva, conciliación y control de cuentas contables.
Ejecutar el monitoreo físico de inventarios y la emisión de facturación al cliente.
Efectuar el cobro de facturas, registro de cuentas por pagar y generación de órdenes de compra.
Llevar a cabo el control de tesorería del Parque y la elaboración de reportes de resultados.
-Perfil competencial:
Capacidad de análisis.
Capacidad de gestión y organización de tareas.
Ética profesional.
Capacidad de trabajo en equipo.
Comunicación asertiva.",Contabilidad,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/contador-parque-viva/871406,info@elempleocr.com,,Salario confidencial,,2 años de experiencia,Profesional,Bachillerato universitario,,,2025-11-20,Alajuela,Alajuela,
,Data analyst with windchill,1,0,0,"REQUISITOS (INDISPENSABLES)
INGLÉS AVANZADO
EXPERIENCIA CON WINDCHILL
EXCEL AVANZADO
2 AÑOS DE EXPERIENCIA
Salario: 1.320.000
Contrato: Contratista por tiempo indefinido
Modalidad: Remoto",Admin:servicios generales,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/data-analyst-with-windchill/871404,info@elempleocr.com,Mensual,"¢ 1 a 1,5 millones","1,5",2 años de experiencia,Profesional,Bachillerato universitario,,,2025-11-20,Heredia,Heredia,
,Diseñador audiovisual jr,1,0,0,"Objetivo:
Generar, gestionar y conceptualizar contenidos gráficos, asegurando la creatividad y el storytelling del contenido para lograr la comercialización de los productos de la compañía.
Requisitos:
Bachillerato en Diseño gráfico y/o publicitario.
Deseable cursando licenciatura
Conocimiento avanzado en el software de Adobe (Ilustrador, Photoshop, InDesign).
Experiencia en el uso de Adobe Premiere y After Effects para la edición de contenido audiovisual.
Experiencia en la creación de contenidos comerciales para redes sociales (imprescindible)
Conocimientos básicos de fotografía y video aplicables al diseño.
Conocimiento de programas de Office (Word, Excel y Power Point)",Diseño y publicidad,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/disenador-audiovisual-jr/871424,info@elempleocr.com,Mensual,¢ 550 a 650 mil,650,1 año de experiencia,Profesional,Bachillerato universitario,,,2025-11-20,Pavas,Pavas,
,Asesor de captación y ahorro,1,0,0,"Asesor de Captación y Ahorro
Ubicación: Área Metropolitana | Modalidad: Presencial
Nombramiento: Indefinido | Salario base: ¢550.000 – ¢630.000 + comisiones
Síntesis del puesto:
Brindar asesoría financiera especializada a asociados y potenciales asociados, impulsando la captación de recursos y la colocación de productos de ahorro e inversión. Su objetivo es fortalecer la base asociativa y contribuir al crecimiento y sostenibilidad financiera de Coocique.
Funciones principales:
Promover y gestionar oportunidades de captación en el mercado local.
Dar seguimiento a prospectos y asociados, fomentando su fidelización.
Registrar gestiones comerciales en CX y cumplir metas de colocación y retención.
Analizar portafolios de ahorro e inversión, procurando su renovación.
Apoyar en actividades de educación financiera y representación institucional.
Aplicar políticas de cumplimiento, control de riesgo y normativa vigente.
Utilizar herramientas digitales para la gestión de inversiones.
Requisitos:
Formación: Técnico medio o un año aprobado de carrera universitaria afín.
Experiencia: Mínimo dos años en funciones similares.
Conocimientos en análisis financiero, productos de inversión y ventas de servicios financieros.
Manejo de paquetes ofimáticos.
Licencia B1 vigente y vehículo propio.
Deseable:
Conocimiento de la Ley 7786, técnicas de venta consultiva y análisis de riesgos.
Incorporación al colegio profesional correspondiente.",Financiera,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/asesor-de-captacion-y-ahorro/871401,info@elempleocr.com,Mensual,¢ 650 a 750 mil,750,2 años de experiencia,Profesional,Técnico medio,,,2025-11-20,San José,San José,
,Analista programador,1,0,0,"Garantizar la operatividad, desarrollo e implementación eficiente de aplicaciones y soluciones tecnológicas, asegurando el manejo adecuado de los datos y brindando soporte especializado para satisfacer las necesidades de las unidades de negocio y contribuir a la toma de decisiones estratégicas.",Admin:servicios generales,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/analista-programador/871410,info@elempleocr.com,Mensual,"¢ 1 a 1,5 millones","1,5",3 años de experiencia,Profesional,Bachillerato universitario,,,2025-11-20,San José,San José,
,Especialista en marketing bilingüe,1,0,0,"Bachillerato en Administración de Empresas énfasis en Mercadeo o Publicidad.
Licencia B1.
Experiencia 3 años en puestos de Mercadeo.
Experiencia en desarrollo y creación de contenido en marketing digital, incluyendo: SEO, SEM, mail, redes sociales, diseño y monitoreo.
Conocimiento avanzado en suite Adobe e Ilustrador, Office intermedio.",Mercadeo,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/especialista-en-marketing-bilingue/871434,info@elempleocr.com,,Salario confidencial,,3 años de experiencia,Profesional,Bachillerato edu. diversificada,,,2025-11-20,Escazú,Escazú,
,Vendedor de tienda - escazú,1,0,0,"6 meses de experiencia en ventas
Encargarse de visuales, mercaderia y el orden en el sitio
Bachillerato Educación Media
Técnico es un plus
100% Presencial Multiplaza Escazú
Horario de Centro Comercial
Contrato por temporado 2 meses",Ventas,Tiempo completo,Costa Rica,2025-11-20,,external,https://www.elempleo.com/cr/ofertas-trabajo/vendedor-de-tienda-escazu/871412,info@elempleocr.com,,Salario confidencial,,1 año de experiencia,"Auxiliar, asistencial y otros",Bachillerato edu. diversificada,,,2025-11-20,Escazú,Escazú,
